Ticker,Model,MAE,MAPE,RMSE,R2
AMC,MARS,0.13812281667176668,0.010424210335011017,0.1907368735570959,0.9814698433859043
BHP,MARS,0.4507574989420142,0.014007716586348395,0.5951151715389962,0.99331727681676
CBA,MARS,0.9838952705818166,0.011546998308455406,1.3456663022622384,0.99659413278532
CSL,MARS,3.111899402159008,0.011547305714897137,4.428548415151645,0.9226262851679851
NAB,MARS,0.2618151472173332,0.011506662047607565,0.357495027493312,0.9969125881758504
PME,MARS,3.528444626975606,0.04120475056051425,5.686335711085689,0.9852837842237695
RIO,MARS,2.9128331105195846,0.030015036687604354,3.4934737524839083,0.9575820146500329
RMD,MARS,2.4360585323660593,0.07472945633658798,3.01543689883635,0.5523319872058873
WBC,MARS,0.23323431430014388,0.012325084886675072,0.3253015914689292,0.9950369159431641
AMC,RF,0.14837677942327054,0.011234887397565568,0.20025719104378056,0.9795738737973599
WBC,RF,0.2468080757763373,0.013384671195671206,0.3378990606399297,0.9946450770838807
RMD,RF,0.49471761706276174,0.016970683869141984,0.656510340337585,0.9787803255936867
PME,RF,1.5675085493150853,0.023377745310191368,2.5483476495629622,0.9970443806269034
RIO,RF,1.3932380667619697,0.015578216000796083,1.8084518595446277,0.9886329185094986
BHP,RF,0.5290470185909605,0.01650218463405771,0.6825951168041248,0.9912082003678874
CBA,RF,1.1075301751487974,0.012884749060248014,1.4896156717695863,0.9958264903374701
NAB,RF,0.29407745249919015,0.012839558176440663,0.3934370056320361,0.9962605738189935
CSL,RF,4.006930884436667,0.014811699040726014,5.7255624067351025,0.8706677122146731
AMC,ARIMA,1.0266086109173493,0.07379584235723405,1.3045741026104867,0.1347366401005522
BHP,ARIMA,11.244522320170983,0.31011302187624384,12.650649745537061,-2.0130070975523373
CBA,ARIMA,23.100097291907364,0.23412579594989108,28.28118490141512,-0.5035416786930049
CSL,ARIMA,21.763518791302836,0.08367051110770693,26.270620724336585,-1.7216341817286906
NAB,ARIMA,6.575767855425492,0.25317539808599715,7.781325977283856,-0.46220392501386587
PME,ARIMA,46.54707521764593,0.5669842568263681,64.58792715626751,-0.8982910349469932
RIO,ARIMA,18.261363241789812,0.18492689736158477,20.967956429849092,-0.5246880171744479
RMD,ARIMA,5.211761163824065,0.1620801745370677,6.302690247105175,-0.9551090907092985
WBC,ARIMA,3.8352273077951726,0.1821679049395463,5.221833389797531,-0.2793366956573873
AMC,LSTM,0.2493718954233023,0.018903385848378265,0.31505530497221146,0.9450790874185027
BHP,LSTM,0.5898013024215759,0.01790191873089054,0.7859061146514548,0.9878986120316178
CBA,LSTM,2.825338655508082,0.029136504638311994,3.594931025008825,0.9752576439786189
CSL,LSTM,18.482664248684987,0.06765904394297766,19.339844873120697,-0.47093180116236444
NAB,LSTM,0.3436516240374721,0.014816936922419192,0.4579753906688265,0.99483769041182
PME,LSTM,3.301568670249163,0.042765312360455485,6.126029617690764,0.9826785486274342
RIO,LSTM,3.2850710140761508,0.0349414222798413,3.823734868147489,0.9475845385161075
RMD,LSTM,0.7037214290218181,0.023516212383498762,0.9255003535596323,0.9572497881008277
WBC,LSTM,0.4003506006535861,0.021186125519359722,0.5161150506030858,0.9873422967598949
