Date,Close,High,Low,Open,Volume,Log_Returns
2001-01-01,6.94814395904541,6.948143959045411,6.948143959045411,6.948143959045411,0,
2001-01-02,7.068487644195557,7.102492696862206,7.0349646960680845,7.066316964881241,1048934,0.017171977655651614
2001-01-03,7.01325798034668,7.047021732354965,6.981905234117401,7.034963318574165,1788746,-0.007844190417489402
2001-01-04,7.042200088500977,7.085611259720272,6.948143276192023,7.0684880852948035,2287712,0.004118279022697127
2001-01-05,6.951519966125488,7.039788622573158,6.950555273428434,7.013018521118694,3300404,-0.012960298091982967
2001-01-08,6.873381614685059,6.902321917403384,6.825147454450966,6.869281549074127,2384804,-0.011304121486249603
2001-01-09,6.928850173950195,6.933674121497537,6.873381063374503,6.873381063374503,1603977,0.008037665029650408
2001-01-10,7.007955074310303,7.007955074310303,6.909557367917261,6.919927695461417,1698239,0.011352063613656246
2001-01-11,6.969849109649658,7.022906727978589,6.969849109649658,6.993966428687931,1245396,-0.005452366990013098
2001-01-12,6.907867431640625,7.001200354615039,6.8974966233104915,6.993965401743521,1477040,-0.00893260644978712
2001-01-15,6.844438552856445,6.890261207444176,6.815498259759833,6.875550008645897,2075293,-0.009224537125581059
2001-01-16,6.698049068450928,6.822734270761806,6.675619842176887,6.822734270761806,3808340,-0.021620132237535363
2001-01-17,6.78800630569458,6.78800630569458,6.675620322833114,6.697325668474992,2464238,0.01334097613750578
2001-01-18,6.844438552856445,6.868555866732926,6.801027871433944,6.801027871433944,2113955,0.0082791561000295
2001-01-19,6.9264397621154785,6.99396778496245,6.861323713417701,6.870970159348387,3280825,0.011909505931341017
2001-01-22,6.951761245727539,6.952967232569045,6.885439222773751,6.921614959576775,2123228,0.003649105773305088
2001-01-23,6.943321228027344,6.981908460088089,6.899910531514587,6.901839917295391,2357015,-0.0012148209633316294
2001-01-24,6.950555324554443,6.960202251595953,6.924026033412675,6.960202251595953,2354033,0.0010413360379921545
2001-01-25,7.115274906158447,7.115274906158447,6.9770840085143435,6.979495498454371,2943988,0.023422309145797127
2001-01-26,7.115274906158447,7.115274906158447,7.115274906158447,7.115274906158447,0,0.0
2001-01-29,7.083199977874756,7.1603744338012545,7.0783765139349395,7.116963741898189,8283455,-0.004518088471910208
2001-01-30,7.121786117553711,7.1362565071619315,7.0421997000413095,7.114551164527205,1600518,0.005432773298839749
2001-01-31,7.109728813171387,7.186903752928938,7.109728813171387,7.1386695969137,1980619,-0.0016944516906166299
2001-02-01,7.090434551239014,7.114551869642956,7.037376934305595,7.1097284059621675,1882987,-0.0027174720896779897
2001-02-02,7.212468147277832,7.215844330399864,7.068729882944803,7.107317112528731,2052135,0.01706458611183957
2001-02-05,7.155551433563232,7.1885917987928405,7.116963722151764,7.1885917987928405,2407186,-0.007922735783406748
2001-02-06,7.219701766967773,7.244783775871224,7.155550431066766,7.155550431066766,2364641,0.008925165818343614
2001-02-07,7.162784099578857,7.232723578837592,7.157960637193243,7.191724873892551,1683415,-0.007914899420542673
2001-02-08,7.128781318664551,7.174844794646839,7.116963711174197,7.174844794646839,1598272,-0.004758449348150219
2001-02-09,7.0376176834106445,7.125162937993697,7.025317972865893,7.125162937993697,1966453,-0.012870581110867814
2001-02-12,7.085610866546631,7.100080772594907,6.993965549279775,7.042199697736179,1317621,0.006796373464128234
2001-02-13,7.084887981414795,7.12661058130981,7.03496573470152,7.102252451382575,1507231,-0.00010202677269426862
2001-02-14,6.991795063018799,7.0904340419847065,6.991795063018798,7.0904340419847065,1869781,-0.013226734634611588
2001-02-15,7.068727970123291,7.068727970123291,6.957789291978986,6.99396502148009,1952024,0.010943216646138416
2001-02-16,7.030141830444336,7.104904790567228,7.00602451255538,7.051605880699071,1614999,-0.005473663714133964
2001-02-19,6.945732593536377,6.993966750275495,6.933674175240421,6.993966750275495,1419628,-0.012079424973115833
2001-02-20,6.945732593536377,6.974672894157732,6.916791809359732,6.946938096877269,2187494,0.0
2001-02-21,6.981907367706299,6.981907367706298,6.895085988264766,6.921614796822485,2575532,0.00519468562051392
2001-02-22,7.038823127746582,7.054257725585329,6.933672602860803,6.94573101842222,2651754,0.008118845547316277
2001-02-23,7.114551544189453,7.191726475996465,7.051847002762862,7.054258492715316,3881990,0.010701213084916976
2001-02-26,7.237548828125,7.242371807824018,7.077893403298001,7.077893403298001,2428275,0.017140389495789093
2001-02-27,7.162784099578857,7.247193965994438,7.150725685392382,7.235135551807963,2129061,-0.010383843305228587
2001-02-28,7.256842136383057,7.2713125260237055,7.162785329051648,7.162785329051648,2367770,0.013046020653681184
