Date,Close,High,Low,Open,Volume,Log_Returns,Differenced
2001-01-01,1.6450167894363403,1.6450167894363403,1.6450167894363403,1.6450167894363403,0,,
2001-01-02,1.6869654655456543,1.691476064081559,1.6576465212916973,1.6576465212916973,2560228,0.025180741917473944,0.041948676109313965
2001-01-03,1.6441148519515991,1.6553914029279733,1.6102853065636367,1.6217873713529527,8048304,-0.025729176948774576,-0.042850613594055176
2001-01-04,1.6801995038986206,1.725305596528414,1.6621571098631636,1.714029046485678,4758296,0.02171038320704646,0.036084651947021484
2001-01-05,1.5899875164031982,1.6125405087018723,1.5787109664832861,1.5899875164031982,5094128,-0.05518637380270124,-0.09021198749542236
2001-01-08,1.5561579465866089,1.589987488205238,1.5223284049679795,1.589987488205238,4814276,-0.021506236188892473,-0.033829569816589355
2001-01-09,1.5787107944488525,1.594497941108151,1.5674342457577626,1.5674342457577626,2433988,0.014388632393975757,0.022552847862243652
2001-01-10,1.6084812879562378,1.6084812879562378,1.58322190957509,1.58322190957509,4825352,0.01868187331578002,0.029770493507385254
2001-01-11,1.6689231395721436,1.6689231395721436,1.6328382422698025,1.6328382422698025,8042876,0.03688815743162768,0.06044185161590576
2001-01-12,1.6463702917099,1.6700509639722054,1.6350937401407388,1.6700509639722054,3414568,-0.013605550294109809,-0.022552847862243652
2001-01-15,1.6463702917099,1.657646735737895,1.6238171885715778,1.6463702917099,894616,0.0,0.0
2001-01-16,1.6599016189575195,1.6689228146414352,1.646369825431646,1.663284540453704,1467840,0.008185293382973972,0.013531327247619629
2001-01-17,1.6666678190231323,1.686965567431177,1.6621572202148067,1.6621572202148067,5483988,0.0040679802557007805,0.006766200065612793
2001-01-18,1.6763653755187988,1.6914758735348066,1.6666675306114436,1.6689228833959038,4186880,0.0058016676068921216,0.009697556495666504
2001-01-19,1.691475510597229,1.702752057017657,1.6801989641768007,1.691475510597229,3704936,0.00897324842665193,0.015110135078430176
2001-01-22,1.691475510597229,1.7253050423173968,1.686964913537281,1.7140284958969687,3569100,0.0,0.0
2001-01-23,1.7365820407867432,1.7478585908408868,1.6991440623711822,1.6991440623711822,2609028,0.0263176057831151,0.04510653018951416
2001-01-24,1.7839434146881104,1.7997305635719636,1.745603272785291,1.745603272785291,1325132,0.026907478434340538,0.04736137390136719
2001-01-25,1.7769519090652466,1.7974750611050045,1.7681562263877169,1.786198619303323,4124780,-0.003926829615183087,-0.0069915056228637695
2001-01-26,1.7769519090652466,1.7769519090652466,1.7769519090652466,1.7769519090652466,0,0.0,0.0
2001-01-29,1.7117739915847778,1.7686075606323493,1.7117739915847778,1.7686075606323493,3296436,-0.0373692310717747,-0.06517791748046875
2001-01-30,1.745603084564209,1.7636455845750882,1.7230500939770375,1.7365818883293405,1408456,0.01956984840242575,0.03382909297943115
2001-01-31,1.7365820407867432,1.7456032378135975,1.691476055652471,1.7419948020193163,2622156,-0.005181266149808382,-0.00902104377746582
2001-02-01,1.7365820407867432,1.768156337921885,1.7365820407867432,1.7365820407867432,1718536,0.0,0.0
